prefill_chunk,kv_prefill,n_decode,kv_decode,time_us
16,1024,2,8192,270.831
16,1024,4,16,70.2623
16,1024,4,32,70.7207
16,1024,4,64,71.233
16,1024,4,128,76.1823
16,1024,4,256,82.369
16,1024,4,512,94.4657
16,1024,4,1024,118.604
16,1024,4,2048,211.886
16,1024,4,4096,421.253
16,1024,4,8192,421.307
16,1024,8,16,85.0783
16,1024,8,32,85.3027
16,1024,8,64,86.0703
16,1024,8,128,102.594
16,1024,8,256,120.428
16,1024,8,512,154.989
16,1024,8,1024,226.681
16,1024,8,2048,374.118
16,1024,8,4096,688.596
16,1024,8,8192,688.714
16,1024,16,16,108.172
16,1024,16,32,108.567
16,1024,16,64,109.9
16,1024,16,128,143.053
16,1024,16,256,178.018
16,1024,16,512,240.857
16,1024,16,1024,341.872
16,1024,16,2048,629.012
16,1024,16,4096,1251.72
16,1024,16,8192,1255.95
16,1024,32,16,154.359
16,1024,32,32,155.373
16,1024,32,64,157.175
16,1024,32,128,223.065
16,1024,32,256,277.422
16,1024,32,512,407.014
16,1024,32,1024,675.455
16,1024,32,2048,1250.44
16,1024,32,4096,2501.44
16,1024,32,8192,2496.62
16,1024,64,16,238.564
16,1024,64,32,240.793
16,1024,64,64,244.857
16,1024,64,128,362.021
16,1024,64,256,498.215
16,1024,64,512,777.611
16,1024,64,1024,1335.14
16,1024,64,2048,2482.89
16,1024,64,4096,4967.96
16,1024,64,8192,4970.84
16,1024,128,16,405.233
16,1024,128,32,409.446
16,1024,128,64,418.832
16,1024,128,128,677.673
16,1024,128,256,948.238
16,1024,128,512,1511.31
16,1024,128,1024,2647.53
16,1024,128,2048,4946.73
16,1024,128,4096,9943.94
16,1024,128,8192,9955.55
16,2048,0,0,110.05
16,2048,1,16,109.506
16,2048,1,32,109.591
16,2048,1,64,109.441
16,2048,1,128,109.367
16,2048,1,256,109.206
16,2048,1,512,109.217
16,2048,1,1024,109.42
16,2048,1,2048,110.306
16,2048,1,4096,213.518
16,2048,1,8192,213.507
16,2048,2,16,115.949
16,2048,2,32,116.002
16,2048,2,64,116.738
16,2048,2,128,122.498
16,2048,2,256,128.845
16,2048,2,512,139.938
16,2048,2,1024,164.152
16,2048,2,2048,212.494
16,2048,2,4096,324.25
16,2048,2,8192,323.898
16,2048,4,16,117.346
16,2048,4,32,117.517
16,2048,4,64,118.391
16,2048,4,128,123.628
16,2048,4,256,129.069
16,2048,4,512,141.944
16,2048,4,1024,166.2
16,2048,4,2048,215.203
16,2048,4,4096,421.254
16,2048,4,8192,420.476
16,2048,8,16,132.247
16,2048,8,32,132.226
16,2048,8,64,133.197
16,2048,8,128,149.506
16,2048,8,256,167.895
