pc,n_label,skew_rate_label,kv_big_label,kp_label,alpha,n_samples
64,n<=128,sr<=5%,kvB<=1k,kp<=8k,0.0113,4
64,n<=128,sr<=5%,kvB<=1k,kp=0,0.008,4
64,n<=128,sr<=5%,kvB<=4k,kp<=2k,0.0148,4
64,n<=128,sr<=5%,kvB<=4k,kp<=512,0.017,4
64,n<=128,sr<=5%,kvB<=4k,kp<=8k,0.0176,4
64,n<=128,sr<=5%,kvB<=4k,kp=0,0.0172,4
64,n<=128,sr<=5%,kvB<=8k,kp<=2k,0.0201,4
64,n<=128,sr<=5%,kvB<=8k,kp<=512,0.0175,4
64,n<=128,sr<=5%,kvB<=8k,kp<=8k,-0.0141,4
64,n<=128,sr<=5%,kvB<=8k,kp=0,0.0132,4
64,n<=128,sr<=70%,kvB<=1k,kp<=2k,0.2318,1
64,n<=128,sr<=70%,kvB<=1k,kp<=512,0.2106,1
64,n<=128,sr<=70%,kvB<=1k,kp<=8k,0.2269,1
64,n<=128,sr<=70%,kvB<=1k,kp=0,0.2121,1
64,n<=128,sr<=70%,kvB<=4k,kp<=2k,-0.0081,1
64,n<=128,sr<=70%,kvB<=4k,kp<=512,-0.0133,1
64,n<=128,sr<=70%,kvB<=4k,kp<=8k,0.0061,1
64,n<=128,sr<=70%,kvB<=4k,kp=0,-0.018,1
64,n<=128,sr<=70%,kvB<=8k,kp<=8k,-452.598,1
64,n<=128,sr>70%,kvB<=1k,kp<=2k,0.4207,2
64,n<=128,sr>70%,kvB<=1k,kp<=512,0.4027,2
64,n<=128,sr>70%,kvB<=1k,kp<=8k,0.4564,2
64,n<=128,sr>70%,kvB<=1k,kp=0,0.3989,2
64,n<=128,sr>70%,kvB<=4k,kp<=2k,0.0763,2
64,n<=128,sr>70%,kvB<=4k,kp<=512,0.0677,2
64,n<=128,sr>70%,kvB<=4k,kp<=8k,0.0729,2
64,n<=128,sr>70%,kvB<=4k,kp=0,0.0557,2
64,n<=128,sr>70%,kvB<=8k,kp<=512,-139.7267,1
64,n<=128,sr>70%,kvB<=8k,kp=0,-715.8721,1
64,n<=2,sr<=70%,kvB<=1k,kp<=2k,-0.6337,1
64,n<=2,sr<=70%,kvB<=1k,kp<=512,-0.6542,1
64,n<=2,sr<=70%,kvB<=1k,kp<=8k,-0.6871,1
64,n<=2,sr<=70%,kvB<=1k,kp=0,0.97,1
64,n<=2,sr<=70%,kvB<=4k,kp<=2k,-0.97,1
64,n<=2,sr<=70%,kvB<=4k,kp<=512,0.9491,1
64,n<=2,sr<=70%,kvB<=4k,kp<=8k,-0.913,1
64,n<=2,sr<=70%,kvB<=4k,kp=0,0.9755,1
64,n<=2,sr<=70%,kvB<=8k,kp<=512,-1.8032,1
64,n<=2,sr<=70%,kvB<=8k,kp<=8k,-850.8697,1
64,n<=2,sr<=70%,kvB<=8k,kp=0,0.0145,1
64,n<=32,sr<=15%,kvB<=1k,kp<=2k,0.0928,3
64,n<=32,sr<=15%,kvB<=1k,kp<=512,0.0766,3
64,n<=32,sr<=15%,kvB<=1k,kp<=8k,0.092,3
64,n<=32,sr<=15%,kvB<=1k,kp=0,0.1224,3
64,n<=32,sr<=15%,kvB<=4k,kp<=2k,0.044,3
64,n<=32,sr<=15%,kvB<=4k,kp<=512,0.0948,3
64,n<=32,sr<=15%,kvB<=4k,kp<=8k,0.0275,3
64,n<=32,sr<=15%,kvB<=4k,kp=0,0.0839,3
64,n<=32,sr<=15%,kvB<=8k,kp<=2k,-0.0955,3
64,n<=32,sr<=15%,kvB<=8k,kp<=512,-0.1226,3
64,n<=32,sr<=15%,kvB<=8k,kp<=8k,-0.2397,3
64,n<=32,sr<=15%,kvB<=8k,kp=0,-0.1344,3
64,n<=32,sr<=40%,kvB<=1k,kp<=2k,0.2484,1
64,n<=32,sr<=40%,kvB<=1k,kp<=512,0.2156,1
