regime,n,nb,ratio,skew,pc,kp,kvs,kv_big,kv_mean,t_mean_us,t_max_us,t_skew_us,alpha
mixed,8,2,0.25,4.0,16,0,512,2048,896,562.255,1198.079,767.604,0.323
mixed,8,2,0.25,4.0,16,0,2048,8192,3584,2042.517,2369.022,1795.856,-0.7555
mixed,8,2,0.25,4.0,16,512,128,512,224,266.824,357.386,249.319,-0.1933
mixed,8,2,0.25,4.0,16,512,512,2048,896,561.839,1198.689,776.661,0.3373
mixed,8,2,0.25,4.0,16,512,2048,8192,3584,2043.413,2368.895,1793.936,-0.7665
mixed,8,2,0.25,4.0,16,2048,128,512,224,685.714,773.653,669.072,-0.1892
mixed,8,2,0.25,4.0,16,2048,512,2048,896,882.296,1202.304,776.276,-0.3313
mixed,8,2,0.25,4.0,16,2048,2048,8192,3584,2044.117,2369.565,1797.968,-0.7563
mixed,8,2,0.25,4.0,16,8192,128,512,224,1272.45,1359.652,1253.089,-0.222
mixed,8,2,0.25,4.0,16,8192,512,2048,896,1469.287,1795.279,1360.132,-0.3348
mixed,8,2,0.25,4.0,16,8192,2048,8192,3584,2228.22,2373.79,1799.247,-2.9469
mixed,8,2,0.25,4.0,64,0,128,512,224,179.974,351.241,245.159,0.3806
mixed,8,2,0.25,4.0,64,0,512,2048,896,563.309,1198.208,769.941,0.3255
mixed,8,2,0.25,4.0,64,0,2048,8192,3584,2042.742,2370.558,1791.888,-0.7652
mixed,8,2,0.25,4.0,64,512,128,512,224,274.279,359.976,253.351,-0.2442
mixed,8,2,0.25,4.0,64,512,512,2048,896,563.085,1198.559,775.285,0.3339
mixed,8,2,0.25,4.0,64,512,2048,8192,3584,2044.821,2371.038,1790.895,-0.7784
mixed,8,2,0.25,4.0,64,2048,128,512,224,691.348,779.03,671.73,-0.2237
mixed,8,2,0.25,4.0,64,2048,512,2048,896,886.263,1204.446,779.158,-0.3366
mixed,8,2,0.25,4.0,64,2048,2048,8192,3584,2043.38,2371.007,1798.254,-0.7482
mixed,8,2,0.25,4.0,64,8192,128,512,224,1276.002,1364.58,1253.858,-0.25
mixed,8,2,0.25,4.0,64,8192,512,2048,896,1475.527,1797.582,1366.404,-0.3388
mixed,8,2,0.25,4.0,64,8192,2048,8192,3584,2230.01,2373.759,1800.976,-2.9846
mixed,8,2,0.25,4.0,256,0,128,512,224,219.207,369.385,303.335,0.5602
mixed,8,2,0.25,4.0,256,0,512,2048,896,573.103,1202.75,813.173,0.3813
mixed,8,2,0.25,4.0,256,0,2048,8192,3584,2048.695,2375.581,1822.16,-0.693
mixed,8,2,0.25,4.0,256,512,128,512,224,414.25,524.624,429.708,0.1401
mixed,8,2,0.25,4.0,256,512,512,2048,896,738.866,1209.023,948.12,0.4451
mixed,8,2,0.25,4.0,256,512,2048,8192,3584,2048.246,2377.566,1973.363,-0.2274
mixed,8,2,0.25,4.0,256,2048,128,512,224,832.792,1005.787,863.062,0.175
mixed,8,2,0.25,4.0,256,2048,512,2048,896,1216.991,1792.399,1253.92,0.0642
mixed,8,2,0.25,4.0,256,2048,2048,8192,3584,2328.318,2500.225,2388.606,0.3507
mixed,8,2,0.25,4.0,256,8192,128,512,224,1365.988,1545.992,1394.533,0.1586
mixed,8,2,0.25,4.0,256,8192,512,2048,896,1758.059,2382.238,1797.967,0.0639
mixed,8,2,0.25,4.0,256,8192,2048,8192,3584,3123.474,3549.276,2387.358,-1.7288
mixed,8,2,0.25,4.0,1024,0,128,512,224,833.045,942.648,839.382,0.0578
mixed,8,2,0.25,4.0,1024,0,512,2048,896,1081.18,1730.894,1343.331,0.4035
mixed,8,2,0.25,4.0,1024,0,2048,8192,3584,2518.019,2840.425,2398.27,-0.3714
mixed,8,2,0.25,4.0,1024,512,128,512,224,1300.48,1420.901,1308.418,0.0659
mixed,8,2,0.25,4.0,1024,512,512,2048,896,1543.911,2134.008,1703.18,0.2699
mixed,8,2,0.25,4.0,1024,512,2048,8192,3584,3005.166,3324.533,2818.697,-0.5839
mixed,8,2,0.25,4.0,1024,2048,128,512,224,2598.947,2803.879,2610.275,0.0553
mixed,8,2,0.25,4.0,1024,2048,512,2048,896,2943.628,3393.53,2975.952,0.0718
mixed,8,2,0.25,4.0,1024,2048,2048,8192,3584,4168.396,4528.659,3963.174,-0.5696
mixed,8,2,0.25,4.0,1024,8192,128,512,224,3766.369,3947.557,3792.288,0.1431
mixed,8,2,0.25,4.0,1024,8192,512,2048,896,4159.244,4765.755,4176.941,0.0292
mixed,8,2,0.25,4.0,1024,8192,2048,8192,3584,5543.117,5944.378,4785.373,-1.8884
mixed,8,2,0.25,4.0,4096,0,128,512,224,7722.31,7848.169,7733.159,0.0862
mixed,8,2,0.25,4.0,4096,0,512,2048,896,7986.319,8449.529,7998.8,0.0269
mixed,8,2,0.25,4.0,4096,0,2048,8192,3584,9043.048,9351.055,8699.329,-1.1159
mixed,8,2,0.25,4.0,4096,512,128,512,224,9220.557,9347.343,9227.728,0.0566
mixed,8,2,0.25,4.0,4096,512,512,2048,896,9481.2,9914.305,9487.415,0.0143
mixed,8,2,0.25,4.0,4096,512,2048,8192,3584,10553.551,10873.37,10164.162,-1.2175
mixed,8,2,0.25,4.0,4096,2048,128,512,224,12561.731,12652.902,12576.965,0.1671
mixed,8,2,0.25,4.0,4096,2048,512,2048,896,12779.941,13125.938,12780.971,0.003
mixed,8,2,0.25,4.0,4096,2048,2048,8192,3584,13692.509,14005.158,13360.505,-1.0619
mixed,8,2,0.25,4.0,4096,8192,128,512,224,14220.236,14211.017,14213.809,
mixed,8,2,0.25,4.0,4096,8192,512,2048,896,14221.1,15057.405,14210.063,-0.0132
mixed,8,2,0.25,4.0,4096,8192,2048,8192,3584,15502.349,15754.066,15064.259,-1.7404
pure,8,3,0.375,4.0,0,0,128,512,272,216.582,355.753,248.422,0.2288
pure,8,3,0.375,4.0,0,0,512,2048,1088,673.428,1202.975,774.869,0.1916
pure,8,3,0.375,4.0,0,0,2048,8192,4352,2375.869,2374.779,1798.509,
mixed,8,3,0.375,4.0,16,0,128,512,272,211.397,350.827,244.869,0.2401
mixed,8,3,0.375,4.0,16,0,512,2048,1088,667.825,1198.464,772.019,0.1964
mixed,8,3,0.375,4.0,16,0,2048,8192,4352,2371.806,2369.628,1797.326,
mixed,8,3,0.375,4.0,16,512,128,512,272,284.295,358.185,250.182,-0.4617
mixed,8,3,0.375,4.0,16,512,512,2048,1088,666.48,1199.742,776.786,0.2069
