pc,n_label,skew_rate_label,kv_big_label,kp_label,alpha,n_samples
16,n<=32,sr<=40%,kvB<=1k,kp<=20k,3.0604,1
16,n<=32,sr<=40%,kvB<=1k,kp<=2k,0.4298,1
16,n<=32,sr<=40%,kvB<=1k,kp<=512,0.4901,1
16,n<=32,sr<=40%,kvB<=1k,kp<=8k,0.1426,1
16,n<=32,sr<=40%,kvB<=1k,kp=0,0.957,1
16,n<=32,sr<=40%,kvB<=32k,kp<=20k,0.9925,1
16,n<=32,sr<=40%,kvB<=32k,kp<=2k,0.9944,1
16,n<=32,sr<=40%,kvB<=32k,kp<=512,0.9962,1
16,n<=32,sr<=40%,kvB<=32k,kp<=8k,0.9962,1
16,n<=32,sr<=40%,kvB<=32k,kp=0,0.9959,1
16,n<=32,sr<=40%,kvB<=4k,kp<=2k,0.5631,1
16,n<=32,sr<=40%,kvB<=4k,kp<=512,0.9899,1
16,n<=32,sr<=40%,kvB<=4k,kp<=8k,6.5714,1
16,n<=32,sr<=40%,kvB<=4k,kp=0,0.9904,1
16,n<=32,sr<=5%,kvB<=16k,kp<=20k,-0.1218,1
16,n<=32,sr<=5%,kvB<=16k,kp<=2k,0.9919,1
16,n<=32,sr<=5%,kvB<=16k,kp<=512,0.9912,1
16,n<=32,sr<=5%,kvB<=16k,kp<=8k,0.5989,1
16,n<=32,sr<=5%,kvB<=16k,kp=0,0.9913,1
16,n<=32,sr<=5%,kvB<=1k,kp<=20k,-0.4898,1
16,n<=32,sr<=5%,kvB<=1k,kp<=2k,0.2141,1
16,n<=32,sr<=5%,kvB<=1k,kp<=512,0.1901,1
16,n<=32,sr<=5%,kvB<=1k,kp<=8k,0.1028,1
16,n<=32,sr<=5%,kvB<=1k,kp=0,0.9043,1
16,n<=32,sr<=5%,kvB<=32k,kp<=20k,0.9883,1
16,n<=32,sr<=5%,kvB<=32k,kp<=2k,0.996,1
16,n<=32,sr<=5%,kvB<=32k,kp<=512,0.9932,1
16,n<=32,sr<=5%,kvB<=32k,kp<=8k,0.9953,1
16,n<=32,sr<=5%,kvB<=32k,kp=0,0.9933,1
16,n<=32,sr<=5%,kvB<=4k,kp<=20k,1.6749,1
16,n<=32,sr<=5%,kvB<=4k,kp<=2k,0.3316,1
16,n<=32,sr<=5%,kvB<=4k,kp<=512,0.9767,1
16,n<=32,sr<=5%,kvB<=4k,kp<=8k,0.1092,1
16,n<=32,sr<=5%,kvB<=4k,kp=0,0.9753,1
16,n<=32,sr<=70%,kvB<=16k,kp<=2k,0.9929,1
16,n<=32,sr<=70%,kvB<=16k,kp<=512,0.9957,1
16,n<=32,sr<=70%,kvB<=16k,kp<=8k,0.6187,1
16,n<=32,sr<=70%,kvB<=16k,kp=0,0.9928,1
16,n<=32,sr<=70%,kvB<=1k,kp<=2k,0.5358,1
16,n<=32,sr<=70%,kvB<=1k,kp<=512,0.7602,1
16,n<=32,sr<=70%,kvB<=1k,kp<=8k,1.4841,1
16,n<=32,sr<=70%,kvB<=1k,kp=0,0.9445,1
16,n<=32,sr<=70%,kvB<=32k,kp<=20k,0.9953,1
16,n<=32,sr<=70%,kvB<=32k,kp<=2k,0.9937,1
16,n<=32,sr<=70%,kvB<=32k,kp<=512,0.9979,1
16,n<=32,sr<=70%,kvB<=32k,kp<=8k,0.997,1
16,n<=32,sr<=70%,kvB<=32k,kp=0,0.9951,1
